# Wikipedia Trends - http://www.wikipediatrends.com/?query[]=Apache+Tomcat&query[]=IIS,,
Date,Apache Tomcat,IIS
2008/01/01,276,104
2008/01/02,771,323
2008/01/03,913,329
2008/01/04,813,277
2008/01/05,403,124
2008/01/06,421,115
2008/01/07,909,288
2008/01/08,1004,280
2008/01/09,1053,298
2008/01/10,1015,327
2008/01/11,901,277
2008/01/12,448,132
2008/01/13,449,171
2008/01/14,965,327
2008/01/15,1029,287
2008/01/16,1111,345
2008/01/17,1060,311
2008/01/18,973,265
2008/01/19,465,156
2008/01/20,444,143
2008/01/21,962,347
2008/01/22,972,349
2008/01/23,1099,349
2008/01/24,1020,356
2008/01/25,939,332
2008/01/26,483,127
2008/01/27,451,164
2008/01/28,997,374
2008/01/29,1097,379
2008/01/30,1134,422
2008/01/31,1083,352
2008/02/01,898,308
2008/02/02,455,179
2008/02/03,435,134
2008/02/04,994,290
2008/02/05,1113,351
2008/02/06,1043,382
2008/02/07,1045,356
2008/02/08,1032,323
2008/02/09,465,148
2008/02/10,444,142
2008/02/11,1006,341
2008/02/12,1132,375
2008/02/13,1084,402
2008/02/14,1073,328
2008/02/15,973,320
2008/02/16,431,140
2008/02/17,453,132
2008/02/18,1014,336
2008/02/19,1123,422
2008/02/20,1186,392
2008/02/21,1047,401
2008/02/22,967,307
2008/02/23,458,154
2008/02/24,493,157
2008/02/25,1051,369
2008/02/26,1120,369
2008/02/27,1143,372
2008/02/28,1059,385
2008/02/29,940,308
2008/03/01,454,146
2008/03/02,452,140
2008/03/03,780,244
2008/03/04,994,343
2008/03/05,1105,412
2008/03/06,1224,351
2008/03/07,1097,344
2008/03/08,483,127
2008/03/09,481,175
2008/03/10,1050,399
2008/03/11,1130,443
2008/03/12,1056,397
2008/03/13,1113,422
2008/03/14,1009,364
2008/03/15,438,154
2008/03/16,516,185
2008/03/17,1084,417
2008/03/18,1137,445
2008/03/19,1121,406
2008/03/20,989,411
2008/03/21,709,249
2008/03/22,452,158
2008/03/23,436,135
2008/03/24,864,327
2008/03/25,1029,419
2008/03/26,1166,396
2008/03/27,1194,478
2008/03/28,1036,319
2008/03/29,422,182
2008/03/30,472,163
2008/03/31,1023,431
2008/04/01,1145,435
2008/04/02,1205,420
2008/04/03,1019,379
2008/04/04,1027,382
2008/04/05,515,176
2008/04/06,457,213
2008/04/07,1111,400
2008/04/08,1185,411
2008/04/09,1189,441
2008/04/10,1184,436
2008/04/11,1060,377
2008/04/12,529,147
2008/04/13,507,185
2008/04/14,1064,413
2008/04/15,1185,388
2008/04/16,1196,430
2008/04/17,1200,416
2008/04/18,1064,338
2008/04/19,483,188
2008/04/20,492,167
2008/04/21,1131,433
2008/04/22,1162,406
2008/04/23,1143,432
2008/04/24,1120,414
2008/04/25,1012,341
2008/04/26,502,155
2008/04/27,487,201
2008/04/28,1113,403
2008/04/29,1195,428
2008/04/30,1185,402
2008/05/01,919,315
2008/05/02,961,343
2008/05/03,472,182
2008/05/04,491,195
2008/05/05,1040,407
2008/05/06,1217,468
2008/05/07,1189,461
2008/05/08,1148,424
2008/05/09,1048,431
2008/05/10,460,175
2008/05/11,522,186
2008/05/12,1198,456
2008/05/13,1336,537
2008/05/14,1266,537
2008/05/15,1242,472
2008/05/16,1062,422
2008/05/17,509,188
2008/05/18,584,241
2008/05/19,1145,421
2008/05/20,1306,488
2008/05/21,1361,498
2008/05/22,1186,467
2008/05/23,1130,422
2008/05/24,508,207
2008/05/25,545,217
2008/05/26,1028,420
2008/05/27,1295,532
2008/05/28,1358,477
2008/05/29,1255,505
2008/05/30,1096,424
2008/05/31,568,223
2008/06/01,542,254
2008/06/02,1258,458
2008/06/03,1410,499
